,lval,op,rval,Estimate
1,ind60,=~,x1,1
2,ind60,=~,x2,2.17982060603062
3,ind60,=~,x3,1.81840156193678
4,dem60,=~,y1,1
5,dem60,=~,y2,1.26836542093845
6,dem60,=~,y3,1.05942317780419
7,dem60,=~,y4,1.29099728910868
8,dem65,=~,y5,1
9,dem65,=~,y6,1.19402534503181
10,dem65,=~,y7,1.28429597021528
11,dem65,=~,y8,1.29213697976534
12,dem60,~,ind60,1.48163743907512
13,dem65,~,ind60,0.567292634686068
14,dem65,~,dem60,0.840894118680196
15,y1,~~,y5,0.693817336613247
16,y2,~~,y4,1.33376449561465
17,y2,~~,y6,2.24155857993001
18,y3,~~,y7,0.832721206581265
19,y6,~~,y8,1.36971324436461
20,x1,~~,x1,0.0814379526174232
21,x2,~~,x2,0.120346494393519
22,x3,~~,x3,0.466512573504631
23,y1,~~,y1,1.98799980659456
24,y2,~~,y2,7.42819365498432
25,y3,~~,y3,5.14605867052004
26,y4,~~,y4,2.98089499942026
27,y5,~~,y5,2.41721133835002
28,y6,~~,y6,5.00399010402172
29,y7,~~,y7,3.4777564153739
30,y8,~~,y8,3.11377336392916
31,ind60,~~,ind60,0.44854891773598
32,dem60,~~,dem60,3.86837306576428
33,dem65,~~,dem65,0.150054003312564
